o,d,dis
8,123,10656.02385
8,125,10677.64893
8,57,10703.63988
8,110,10856.3692
8,107,11074.73547
8,77,11146.97402
8,73,11234.89165
8,108,11519.49204
8,102,11609.05971
8,120,11687.54804
8,7,11764.85946
8,103,11844.01166
8,63,11846.90921
8,75,12054.67789
8,19,12397.37268
8,5,12546.38788
8,78,12742.55064
8,74,12848.30403
8,47,12881.63266
8,100,12949.82908
8,101,13097.35857
8,99,13670.77109
8,104,13680.69741
8,119,13807.52082
8,25,14160.77799
8,85,14203.75921
8,72,14245.11243
8,55,14783.58362
8,21,14953.14506
8,22,14957.81797
8,17,15015.21341
8,18,15052.44015
8,96,15102.15769
8,97,15991.80352
8,40,16355.95386
8,43,16380.54945
8,95,17003.68977
8,93,17288.31261
8,70,17396.02904
8,91,17551.56747
8,84,17668.85629
8,49,17756.26988
8,48,17767.29105
8,56,17884.6871
8,16,18385.92869
8,15,18449.58839
8,38,18534.89826
8,76,18577.76406
8,89,18723.46512
8,98,18790.97108
8,9,18887.07732
8,88,18904.40547
8,105,18955.8892
8,10,18960.35382
8,54,19106.50193
8,52,19234.37766
8,51,19292.66391
8,50,19397.68046
8,53,19826.9139
8,92,19851.28841
8,69,19885.02076
8,90,20136.44151
8,33,20173.82126
8,64,20280.8349
8,117,20318.28443
8,12,20329.49602
8,44,20734.97611
8,41,21124.77542
8,42,21144.42795
8,71,21199.85809
8,45,21321.73155
8,83,21383.05763
8,87,21403.40502
8,2,21494.63774
8,80,21746.27533
8,46,21977.46961
8,94,22287.60678
8,36,22387.72582
8,39,22539.91902
8,86,22861.97723
8,34,23195.72632
8,81,23352.27651
8,114,23504.46953
8,32,23802.96725
8,37,23973.02965
8,113,24029.92389
8,115,24034.91924
8,1,24701.05586
8,35,24943.75273
8,118,24966.9619
8,116,25133.71315
8,14,25182.83572
8,79,25220.77437
8,30,25377.43555
8,31,25487.0343
8,112,25938.42644
8,82,26696.06672
8,4,27346.41071
8,3,27491.87181
8,13,28374.14864
8,68,28522.14256
8,66,28789.18385
8,67,28836.27388
8,28,28842.19309
8,65,29053.01997
8,29,32882.62123
9,9,0.0
9,10,73.27650016
9,38,1248.545143
9,69,1413.449038
9,90,1664.869798
9,89,1966.664061
9,43,2830.456116
9,117,3047.392509
9,97,3121.454834
9,87,3125.500282
9,80,3261.249197
9,40,3413.7627
9,84,3676.560619
9,36,4186.544409
9,85,4856.1173
9,72,4896.652151
9,81,5115.43244
9,114,5268.005671
9,119,5319.596374
9,41,5336.31328
9,42,5355.965814
9,104,5401.341135
9,12,5451.598435
9,83,5594.595493
9,39,5597.818661
9,113,5793.460031
9,115,5798.455379
9,37,5889.033053
9,34,6150.710214
9,99,6156.220567
9,86,6360.562159
9,35,6707.288871
9,44,6727.206612
9,75,6940.124164
9,74,6975.012548
9,79,6984.31051
9,116,7059.945431
9,1,7185.685958
9,45,7226.956156
9,96,7411.967079
9,78,7596.712894
9,55,7819.561984
9,47,7975.120993
